skill,model,RMSE,MAE,MAPE,DirAcc(%)
Python,Naive,51.77644251974058,42.0,7.931199372669235,0.0
Python,ARIMA,56.2574526062621,48.9492292278817,9.091641203478202,50.0
Python,Prophet,40.499389314130454,26.30652748929531,5.114101165309154,25.0
SQL,Naive,20.346989949375804,17.2,3.994444812828532,25.0
SQL,ARIMA,20.956507179067206,18.33677551942976,4.3343584066977,75.0
SQL,Prophet,14.797326028875338,11.691534898502846,2.7604732060360266,50.0
TensorFlow,Naive,56.57031023425627,39.0,11.415290232667582,0.0
TensorFlow,ARIMA,48.84404123700413,32.67745051590496,9.677331973936788,0.0
TensorFlow,Prophet,42.37657367332542,28.7044343235798,8.40645582401525,25.0
Kubernetes,Naive,37.997368329925166,26.6,7.330086772008423,50.0
Kubernetes,ARIMA,43.57711966866212,39.63099746614496,10.43371317986153,50.0
Kubernetes,Prophet,36.9474241893025,29.046198303822393,7.956391250373302,25.0
PyTorch,Naive,32.817678162843876,23.8,7.361302263556163,25.0
PyTorch,ARIMA,43.781303176989496,34.69360157019288,10.58717369401794,50.0
PyTorch,Prophet,41.19766515817795,31.81593184970699,9.82837947577711,25.0
Scala,Naive,35.25336863336609,32.8,9.966283689075883,50.0
Scala,ARIMA,40.70707802901667,36.90244464980155,11.21140432975698,50.0
Scala,Prophet,32.63079687960814,25.49211768017916,7.928594183378176,25.0
Linux,Naive,36.3483149540663,28.4,9.162810776450884,25.0
Linux,ARIMA,19.827167611407404,16.805107036425433,5.4158931453216415,75.0
Linux,Prophet,26.883101660326055,17.681124521692777,5.880215020782127,25.0
Git,Naive,35.0,28.2,9.560208770958067,0.0
Git,ARIMA,26.21880850040552,20.36975715280091,7.03852487607796,75.0
Git,Prophet,25.012982435042787,18.357018105621783,6.404346624384494,25.0
Java,Naive,19.909796583591707,19.2,6.276943009787672,75.0
Java,ARIMA,35.12645958885124,30.81745078251929,10.200669760965745,25.0
Java,Prophet,18.752978347436244,14.196836479848503,4.778160948144674,50.0
GCP,Naive,19.07354188398159,15.4,5.318332592787618,25.0
GCP,ARIMA,9.850307427749776,8.473407781536617,2.788578009149752,100.0
GCP,Prophet,18.455953287428112,13.856869486803589,4.827624193399233,50.0
Hadoop,Naive,10.705138952858109,8.6,2.9082362877641503,75.0
Hadoop,ARIMA,10.218985741781369,9.306647954645177,3.1872753877783553,75.0
Hadoop,Prophet,13.101789941937929,12.41037297122374,4.276144308223072,50.0
R,Naive,30.8966017548856,29.4,9.79672900788791,50.0
R,ARIMA,151.40444686241543,85.90100935507624,27.03133512932202,25.0
R,Prophet,30.532689456059703,24.700049373909724,8.657873812310045,25.0
Tableau,Naive,23.849528297222147,22.0,8.016049081816904,0.0
Tableau,ARIMA,31.35223531486172,25.66973506307111,9.626391332433185,50.0
Tableau,Prophet,24.852174943037642,20.678043251398492,7.726770136101865,25.0
Computer Vision,Naive,28.121166405396487,23.2,8.43712817108646,25.0
Computer Vision,ARIMA,22.497297742440846,18.669269860880615,6.816160375537078,50.0
Computer Vision,Prophet,28.03048026987917,25.620706651940715,9.477925044968565,25.0
Data Visualization,Naive,31.250599994240112,24.2,9.040281486137571,50.0
Data Visualization,ARIMA,24.647789967900714,19.551039409362055,7.280633840589193,25.0
Data Visualization,Prophet,22.385885309883488,19.163874314931604,7.012849405747816,50.0
Spark,Naive,23.672769166280485,17.6,6.73784637597645,25.0
Spark,ARIMA,27.1174761939013,25.459627666602284,9.521745251756286,75.0
Spark,Prophet,21.394173351367737,18.77816206321153,7.051373002711483,50.0
MLOps,Naive,23.021728866442675,18.0,7.0498112268295055,50.0
MLOps,ARIMA,24.313688786186518,18.406345296730514,7.152271356528084,25.0
MLOps,Prophet,19.345102852999382,15.449002192128273,6.088042759525554,0.0
Azure,Naive,27.982137159266443,25.8,10.088243517693687,25.0
Azure,ARIMA,30.245711518575536,20.586447208172547,8.333272141435293,25.0
Azure,Prophet,18.693397739501325,15.6843363534054,6.2298407963498965,25.0
Deep Learning,Naive,26.385602134497518,20.6,8.533206064865166,50.0
Deep Learning,ARIMA,28.10101430226382,20.924463033721963,8.745459734652153,50.0
Deep Learning,Prophet,25.74927093972783,15.605245843721855,6.736136502827668,25.0
NLP,Naive,21.72095762161512,18.6,6.855153721555049,50.0
NLP,ARIMA,17.900464452693438,15.716597708059975,6.034357149019309,75.0
NLP,Prophet,20.41414550480131,18.055681215418748,6.943958443217174,25.0
AWS,Naive,36.03054259930039,29.4,11.03702403979426,50.0
AWS,ARIMA,29.665691638245956,26.382376352083792,10.049996997569481,50.0
AWS,Prophet,27.567494857622158,22.842418669549623,8.98419644051626,25.0
Mathematics,Naive,35.586514299661324,34.0,13.823618274126206,50.0
Mathematics,ARIMA,30.88322088826238,28.917115311513804,11.67432965002649,50.0
Mathematics,Prophet,29.764241129762294,26.753845153480416,10.738940578533432,25.0
Docker,Naive,17.826945896591486,15.8,6.92387364733565,25.0
Docker,ARIMA,17.223057643912234,15.274938668490881,6.83779572945185,25.0
Docker,Prophet,14.178617263503892,11.566381408188107,5.2349746349040664,25.0
Statistics,Naive,30.07324392213118,28.4,12.548793889623147,25.0
Statistics,ARIMA,17.010197316463476,12.944864007479897,6.03256156136347,75.0
Statistics,Prophet,21.091399124228307,18.749796113847232,8.399165942533491,25.0
